Year,Month,Day,Hour,Minute,PM10
2020,1,19,5,10,7
2020,1,19,5,15,7
2020,1,19,5,20,7
2020,1,19,5,25,7
2020,1,19,5,30,7
2020,1,19,5,35,7
2020,1,19,5,40,7
2020,1,19,5,45,12.1
2020,1,19,5,50,13
2020,1,19,5,55,13
2020,1,19,6,0,13
2020,1,19,6,5,13
2020,1,19,6,10,13
2020,1,19,6,15,13
2020,1,19,6,20,13
2020,1,19,6,25,13
2020,1,19,6,30,13
2020,1,19,6,35,13
2020,1,19,6,40,13
2020,1,19,6,45,7.1
2020,1,19,6,50,6
2020,1,19,6,55,6
2020,1,19,7,0,6
2020,1,19,7,5,6
2020,1,19,7,10,6
2020,1,19,7,15,6
2020,1,19,7,20,6
2020,1,19,7,25,6
2020,1,19,7,30,6
2020,1,19,7,35,6
2020,1,19,7,40,6
2020,1,19,7,45,17.9
2020,1,19,7,50,20
2020,1,19,7,55,20
2020,1,19,8,0,20
2020,1,19,8,5,20
2020,1,19,8,10,20
2020,1,19,8,15,20
2020,1,19,8,20,20
2020,1,19,8,25,20
2020,1,19,8,30,20
2020,1,19,8,35,20
2020,1,19,8,40,20
2020,1,19,8,45,21.7
2020,1,19,8,50,22
2020,1,19,8,55,22
2020,1,19,9,0,22
2020,1,19,9,5,22
2020,1,19,9,10,22
2020,1,19,9,15,22
2020,1,19,9,20,22
2020,1,19,9,25,22
2020,1,19,9,30,22
2020,1,19,9,35,22
2020,1,19,9,40,22
2020,1,19,9,45,17.8
2020,1,19,9,50,17
2020,1,19,9,55,17
2020,1,19,10,0,17
2020,1,19,10,5,17
2020,1,19,10,10,17
2020,1,19,10,15,17
2020,1,19,10,20,17
2020,1,19,10,25,17
2020,1,19,10,30,17
2020,1,19,10,35,17
2020,1,19,10,40,17
2020,1,19,10,45,7.7
2020,1,19,10,50,6
2020,1,19,10,55,6
2020,1,19,11,0,6
2020,1,19,11,5,6
2020,1,19,11,10,6
2020,1,19,11,15,6
2020,1,19,11,20,6
2020,1,19,11,25,6
2020,1,19,11,30,6
2020,1,19,11,35,6
2020,1,19,11,40,6
2020,1,19,11,45,11.9
2020,1,19,11,50,13
2020,1,19,11,55,13
2020,1,19,12,0,13
2020,1,19,12,5,13
2020,1,19,12,10,13
2020,1,19,12,15,13
2020,1,19,12,20,13
2020,1,19,12,25,13
2020,1,19,12,30,13
2020,1,19,12,35,13
2020,1,19,12,40,13
2020,1,19,12,45,13
2020,1,19,12,50,13
2020,1,19,12,55,13
2020,1,19,13,0,13
2020,1,19,13,5,13
2020,1,19,13,10,13
2020,1,19,13,15,13
2020,1,19,13,20,13
2020,1,19,13,25,13
2020,1,19,13,30,13
2020,1,19,13,35,13
2020,1,19,13,40,13
2020,1,19,13,45,18.1
2020,1,19,13,50,19
2020,1,19,13,55,19
2020,1,19,14,0,19
2020,1,19,14,5,19
2020,1,19,14,10,19
2020,1,19,14,15,19
2020,1,19,14,20,19
2020,1,19,14,25,19
2020,1,19,14,30,19
2020,1,19,14,35,19
2020,1,19,14,40,19
2020,1,19,14,45,26.6
2020,1,19,14,50,28
2020,1,19,14,55,28
2020,1,19,15,0,28
2020,1,19,15,5,28
2020,1,19,15,10,28
2020,1,19,15,15,28
2020,1,19,15,20,28
2020,1,19,15,25,28
2020,1,19,15,30,28
2020,1,19,15,35,28
2020,1,19,15,40,28
2020,1,19,15,45,8.4
2020,1,19,15,50,5
2020,1,19,15,55,5
2020,1,19,16,0,5
2020,1,19,16,5,5
2020,1,19,16,10,5
2020,1,19,16,15,5
2020,1,19,16,20,5
2020,1,19,16,25,5
2020,1,19,16,30,5
2020,1,19,16,35,5
2020,1,19,16,40,5
2020,1,19,16,45,15.2
2020,1,19,16,50,17
2020,1,19,16,55,17
2020,1,19,17,0,17
2020,1,19,17,5,17
2020,1,19,17,10,17
2020,1,19,17,15,17
2020,1,19,17,20,17
2020,1,19,17,25,17
2020,1,19,17,30,17
2020,1,19,17,35,17
2020,1,19,17,40,17
2020,1,19,17,45,27.2
2020,1,19,17,50,29
2020,1,19,17,55,29
2020,1,19,18,0,29
2020,1,19,18,5,29
2020,1,19,18,10,29
2020,1,19,18,15,29
2020,1,19,18,20,29
2020,1,19,18,25,29
2020,1,19,18,30,29
2020,1,19,18,35,29
2020,1,19,18,40,29
2020,1,19,18,45,1.8
2020,1,19,18,50,-3
2020,1,19,18,55,-3
2020,1,19,19,0,-3
2020,1,19,19,5,-3
2020,1,19,19,10,-3
2020,1,19,19,15,-3
2020,1,19,19,20,-3
2020,1,19,19,25,-3
2020,1,19,19,30,-3
2020,1,19,19,35,-3
2020,1,19,19,40,-3
2020,1,19,19,45,13.1
2020,1,19,19,50,16
2020,1,19,19,55,16
2020,1,19,20,0,16
2020,1,19,20,5,16
2020,1,19,20,10,16
2020,1,19,20,15,16
2020,1,19,20,20,16
2020,1,19,20,25,16
2020,1,19,20,30,16
2020,1,19,20,35,16
2020,1,19,20,40,16
2020,1,19,20,45,14.3
2020,1,19,20,50,14
2020,1,19,20,55,14
2020,1,19,21,0,14
2020,1,19,21,5,14
2020,1,19,21,10,14
2020,1,19,21,15,14
2020,1,19,21,20,14
2020,1,19,21,25,14
2020,1,19,21,30,14
2020,1,19,21,35,14
2020,1,19,21,40,14
2020,1,19,21,45,14.9
2020,1,19,21,50,15
2020,1,19,21,55,15
2020,1,19,22,0,15
2020,1,19,22,5,15
2020,1,19,22,10,15
2020,1,19,22,15,15
2020,1,19,22,20,15
2020,1,19,22,25,15
2020,1,19,22,30,15
2020,1,19,22,35,15
2020,1,19,22,40,15
2020,1,19,22,45,8.2
2020,1,19,22,50,7
2020,1,19,22,55,7
2020,1,19,23,0,7
2020,1,19,23,5,7
2020,1,19,23,10,7
2020,1,19,23,15,7
2020,1,19,23,20,7
2020,1,19,23,25,7
2020,1,19,23,30,7
2020,1,19,23,35,7
2020,1,19,23,40,7
2020,1,19,23,45,13.8
2020,1,19,23,50,15
2020,1,19,23,55,15
,,43850,,,15
2020,1,20,0,5,15
2020,1,20,0,10,15
2020,1,20,0,15,15
2020,1,20,0,20,15
2020,1,20,0,25,15
2020,1,20,0,30,15
2020,1,20,0,35,15
2020,1,20,0,40,15
2020,1,20,0,45,17.5
2020,1,20,0,50,18
2020,1,20,0,55,18
2020,1,20,1,0,18
2020,1,20,1,5,18
2020,1,20,1,10,18
2020,1,20,1,15,18
2020,1,20,1,20,18
2020,1,20,1,25,18
2020,1,20,1,30,18
2020,1,20,1,35,18
2020,1,20,1,40,18
2020,1,20,1,45,13.8
2020,1,20,1,50,13
2020,1,20,1,55,13
2020,1,20,2,0,13
2020,1,20,2,5,13
2020,1,20,2,10,13
2020,1,20,2,15,13
2020,1,20,2,20,13
2020,1,20,2,25,13
2020,1,20,2,30,13
2020,1,20,2,35,13
2020,1,20,2,40,13
2020,1,20,2,45,11.3
2020,1,20,2,50,11
2020,1,20,2,55,11
2020,1,20,3,0,11
2020,1,20,3,5,11
2020,1,20,3,10,11
2020,1,20,3,15,11
2020,1,20,3,20,11
2020,1,20,3,25,11
2020,1,20,3,30,11
2020,1,20,3,35,11
2020,1,20,3,40,11
2020,1,20,3,45,11.9
2020,1,20,3,50,12
2020,1,20,3,55,12
2020,1,20,4,0,12
2020,1,20,4,5,12
2020,1,20,4,10,12
2020,1,20,4,15,12
2020,1,20,4,20,12
2020,1,20,4,25,12
2020,1,20,4,30,12
2020,1,20,4,35,12
2020,1,20,4,40,12
2020,1,20,4,45,14.6
2020,1,20,4,50,15
2020,1,20,4,55,15
2020,1,20,5,0,15
2020,1,20,5,5,15
2020,1,20,5,10,15
2020,1,20,5,15,15
2020,1,20,5,20,15
2020,1,20,5,25,15
2020,1,20,5,30,15
2020,1,20,5,35,15
2020,1,20,5,40,15
